,Ward,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Districtcode,Population2011Census,Crimerate,Openspace,District,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
55, Mayesbrook,00ABGF,45.3,12.2,32.1,0.7,00AB,10786,109.4,38.4,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
56, Mayesbrook,00ABGG,13.1,5.6,22.7,1.1,00AB,11478,91.9,30.3,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
57, Mayesbrook,00ABGH,38.6,9.6,32.1,0.8,00AB,10342,83.4,45.8,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
58, Mayesbrook,00ABGJ,36.4,9.5,31.8,0.8,00AB,9839,79.2,17.5,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
59, Mayesbrook,00ABGK,25.7,8.6,29.9,0.8,00AB,10923,92.8,20.8,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
60, Mayesbrook,00ABGL,44.4,9.2,24.1,0.7,00AB,10728,143.8,44.4,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
61, Mayesbrook,00ABGM,37.4,9.5,32.1,0.8,00AB,9867,88.6,16.0,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
62, Mayesbrook,00ABGN,39.9,11.9,30.3,0.8,00AB,10787,102.3,48.0,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
63, Mayesbrook,00ABGP,12.3,6.9,24.0,1.0,00AB,10575,90.7,16.4,Barking and Dagenham,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2
64, Alibon,00ABFX,26.7,8.7,16.4,0.5,00AB,12786,172.5,19.6,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
65, Alibon,00ABFY,36.8,10.2,31.2,0.8,00AB,10385,93.2,22.4,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
66, Alibon,00ABFZ,29.4,10.2,28.0,0.9,00AB,11545,91.7,3.0,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
67, Alibon,00ABGB,20.0,8.8,29.9,1.1,00AB,10506,72.4,51.1,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
68, Alibon,00ABGC,37.4,10.2,28.9,0.8,00AB,11624,87.6,18.1,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
69, Alibon,00ABGD,54.0,12.2,25.5,0.5,00AB,12452,135.2,20.3,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
70, Alibon,00ABGE,37.3,9.6,30.0,0.8,00AB,11267,82.9,17.1,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
71, Alibon,00ABGF,45.3,12.2,32.1,0.7,00AB,10786,109.4,38.4,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
72, Alibon,00ABGG,13.1,5.6,22.7,1.1,00AB,11478,91.9,30.3,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
73, Alibon,00ABGH,38.6,9.6,32.1,0.8,00AB,10342,83.4,45.8,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
74, Alibon,00ABGJ,36.4,9.5,31.8,0.8,00AB,9839,79.2,17.5,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
75, Alibon,00ABGK,25.7,8.6,29.9,0.8,00AB,10923,92.8,20.8,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
76, Alibon,00ABGL,44.4,9.2,24.1,0.7,00AB,10728,143.8,44.4,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
77, Alibon,00ABGM,37.4,9.5,32.1,0.8,00AB,9867,88.6,16.0,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
78, Alibon,00ABGN,39.9,11.9,30.3,0.8,00AB,10787,102.3,48.0,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
79, Alibon,00ABGP,12.3,6.9,24.0,1.0,00AB,10575,90.7,16.4,Barking and Dagenham,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9
80, Eastbrook,00ABFX,26.7,8.7,16.4,0.5,00AB,12786,172.5,19.6,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
81, Eastbrook,00ABFY,36.8,10.2,31.2,0.8,00AB,10385,93.2,22.4,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
82, Eastbrook,00ABFZ,29.4,10.2,28.0,0.9,00AB,11545,91.7,3.0,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
83, Eastbrook,00ABGB,20.0,8.8,29.9,1.1,00AB,10506,72.4,51.1,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
84, Eastbrook,00ABGC,37.4,10.2,28.9,0.8,00AB,11624,87.6,18.1,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
85, Eastbrook,00ABGD,54.0,12.2,25.5,0.5,00AB,12452,135.2,20.3,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
86, Eastbrook,00ABGE,37.3,9.6,30.0,0.8,00AB,11267,82.9,17.1,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
87, Eastbrook,00ABGF,45.3,12.2,32.1,0.7,00AB,10786,109.4,38.4,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
88, Eastbrook,00ABGG,13.1,5.6,22.7,1.1,00AB,11478,91.9,30.3,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
89, Eastbrook,00ABGH,38.6,9.6,32.1,0.8,00AB,10342,83.4,45.8,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
90, Eastbrook,00ABGJ,36.4,9.5,31.8,0.8,00AB,9839,79.2,17.5,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
91, Eastbrook,00ABGK,25.7,8.6,29.9,0.8,00AB,10923,92.8,20.8,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
92, Eastbrook,00ABGL,44.4,9.2,24.1,0.7,00AB,10728,143.8,44.4,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
93, Eastbrook,00ABGM,37.4,9.5,32.1,0.8,00AB,9867,88.6,16.0,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
94, Eastbrook,00ABGN,39.9,11.9,30.3,0.8,00AB,10787,102.3,48.0,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
95, Eastbrook,00ABGP,12.3,6.9,24.0,1.0,00AB,10575,90.7,16.4,Barking and Dagenham,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5
96, Whalebone,00ABFX,26.7,8.7,16.4,0.5,00AB,12786,172.5,19.6,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
97, Whalebone,00ABFY,36.8,10.2,31.2,0.8,00AB,10385,93.2,22.4,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
98, Whalebone,00ABFZ,29.4,10.2,28.0,0.9,00AB,11545,91.7,3.0,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
99, Whalebone,00ABGB,20.0,8.8,29.9,1.1,00AB,10506,72.4,51.1,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
100, Whalebone,00ABGC,37.4,10.2,28.9,0.8,00AB,11624,87.6,18.1,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
101, Whalebone,00ABGD,54.0,12.2,25.5,0.5,00AB,12452,135.2,20.3,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
102, Whalebone,00ABGE,37.3,9.6,30.0,0.8,00AB,11267,82.9,17.1,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
103, Whalebone,00ABGF,45.3,12.2,32.1,0.7,00AB,10786,109.4,38.4,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
104, Whalebone,00ABGG,13.1,5.6,22.7,1.1,00AB,11478,91.9,30.3,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
105, Whalebone,00ABGH,38.6,9.6,32.1,0.8,00AB,10342,83.4,45.8,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
106, Whalebone,00ABGJ,36.4,9.5,31.8,0.8,00AB,9839,79.2,17.5,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
107, Whalebone,00ABGK,25.7,8.6,29.9,0.8,00AB,10923,92.8,20.8,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
108, Whalebone,00ABGL,44.4,9.2,24.1,0.7,00AB,10728,143.8,44.4,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
109, Whalebone,00ABGM,37.4,9.5,32.1,0.8,00AB,9867,88.6,16.0,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
110, Whalebone,00ABGN,39.9,11.9,30.3,0.8,00AB,10787,102.3,48.0,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
111, Whalebone,00ABGP,12.3,6.9,24.0,1.0,00AB,10575,90.7,16.4,Barking and Dagenham,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4
112, Thames,00ABFX,26.7,8.7,16.4,0.5,00AB,12786,172.5,19.6,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
113, Thames,00ABFY,36.8,10.2,31.2,0.8,00AB,10385,93.2,22.4,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
114, Thames,00ABFZ,29.4,10.2,28.0,0.9,00AB,11545,91.7,3.0,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
115, Thames,00ABGB,20.0,8.8,29.9,1.1,00AB,10506,72.4,51.1,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
116, Thames,00ABGC,37.4,10.2,28.9,0.8,00AB,11624,87.6,18.1,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
117, Thames,00ABGD,54.0,12.2,25.5,0.5,00AB,12452,135.2,20.3,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
118, Thames,00ABGE,37.3,9.6,30.0,0.8,00AB,11267,82.9,17.1,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
119, Thames,00ABGF,45.3,12.2,32.1,0.7,00AB,10786,109.4,38.4,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
120, Thames,00ABGG,13.1,5.6,22.7,1.1,00AB,11478,91.9,30.3,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
121, Thames,00ABGH,38.6,9.6,32.1,0.8,00AB,10342,83.4,45.8,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
122, Thames,00ABGJ,36.4,9.5,31.8,0.8,00AB,9839,79.2,17.5,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
123, Thames,00ABGK,25.7,8.6,29.9,0.8,00AB,10923,92.8,20.8,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
124, Thames,00ABGL,44.4,9.2,24.1,0.7,00AB,10728,143.8,44.4,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
125, Thames,00ABGM,37.4,9.5,32.1,0.8,00AB,9867,88.6,16.0,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
126, Thames,00ABGN,39.9,11.9,30.3,0.8,00AB,10787,102.3,48.0,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
127, Thames,00ABGP,12.3,6.9,24.0,1.0,00AB,10575,90.7,16.4,Barking and Dagenham,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2
128, Heath,00ABFX,26.7,8.7,16.4,0.5,00AB,12786,172.5,19.6,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
129, Heath,00ABFY,36.8,10.2,31.2,0.8,00AB,10385,93.2,22.4,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
130, Heath,00ABFZ,29.4,10.2,28.0,0.9,00AB,11545,91.7,3.0,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
131, Heath,00ABGB,20.0,8.8,29.9,1.1,00AB,10506,72.4,51.1,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
132, Heath,00ABGC,37.4,10.2,28.9,0.8,00AB,11624,87.6,18.1,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
133, Heath,00ABGD,54.0,12.2,25.5,0.5,00AB,12452,135.2,20.3,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
134, Heath,00ABGE,37.3,9.6,30.0,0.8,00AB,11267,82.9,17.1,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
135, Heath,00ABGF,45.3,12.2,32.1,0.7,00AB,10786,109.4,38.4,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
136, Heath,00ABGG,13.1,5.6,22.7,1.1,00AB,11478,91.9,30.3,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
137, Heath,00ABGH,38.6,9.6,32.1,0.8,00AB,10342,83.4,45.8,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
138, Heath,00ABGJ,36.4,9.5,31.8,0.8,00AB,9839,79.2,17.5,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
139, Heath,00ABGK,25.7,8.6,29.9,0.8,00AB,10923,92.8,20.8,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
140, Heath,00ABGL,44.4,9.2,24.1,0.7,00AB,10728,143.8,44.4,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
141, Heath,00ABGM,37.4,9.5,32.1,0.8,00AB,9867,88.6,16.0,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
142, Heath,00ABGN,39.9,11.9,30.3,0.8,00AB,10787,102.3,48.0,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
143, Heath,00ABGP,12.3,6.9,24.0,1.0,00AB,10575,90.7,16.4,Barking and Dagenham,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2
144, Village,00ABFX,26.7,8.7,16.4,0.5,00AB,12786,172.5,19.6,Barking and Dagenham,99.1,76.0,80.9,24.9559655140447,11.3,34.8,26.0,7.5
145, Village,00ABFY,36.8,10.2,31.2,0.8,00AB,10385,93.2,22.4,Barking and Dagenham,99.1,76.0,80.9,24.9559655140447,11.3,34.8,26.0,7.5
146, Village,00ABFZ,29.4,10.2,28.0,0.9,00AB,11545,91.7,3.0,Barking and Dagenham,99.1,76.0,80.9,24.9559655140447,11.3,34.8,26.0,7.5
147, Village,00ABGB,20.0,8.8,29.9,1.1,00AB,10506,72.4,51.1,Barking and Dagenham,99.1,76.0,80.9,24.9559655140447,11.3,34.8,26.0,7.5
148, Village,00ABGC,37.4,10.2,28.9,0.8,00AB,11624,87.6,18.1,Barking and Dagenham,99.1,76.0,80.9,24.9559655140447,11.3,34.8,26.0,7.5
