,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward,PopPlusDistrict,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Crimerate,Openspace,Districtcode,Combinedlifeexpectancy
47,Barking and Dagenham - Parsloes,9839.0,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6,Barking and Dagenham,Parsloes,"9839, Barking and Dagenham",00ABGJ,36.4,9.5,31.8,0.8,79.2,17.5,00AB,79.3
48,Kensington and Chelsea - Queen's Gate,9847.0,50.7,94.5,86.6,14.3698588402559,9.4,28.7,63.2,24.9,Kensington and Chelsea,Queen's Gate,"9847, Kensington and Chelsea",00AWGM,4.0,1.5,3.8,0.6,100.2,5.8,00AW,90.55
49,Merton - West Barnes,9862.0,82.0,82.9,82.4,20.4421009937132,13.4,30.0,33.7,9.3,Merton,West Barnes,"9862, Merton",00BAGR,5.2,2.4,13.9,1.1,57.7,32.3,00BA,82.65
50,Barking and Dagenham - Valence,9867.0,101.1,72.6,78.0,25.6916996047431,12.1,31.5,23.3,7.1,Barking and Dagenham,Valence,"9867, Barking and Dagenham",00ABGM,37.4,9.5,32.1,0.8,88.6,16.0,00AB,75.3
51,Bromley - Biggin Hill,9951.0,60.0,82.2,86.2,18.952869058386103,16.3,4.1,5.1,0.5,Bromley,Biggin Hill,"9951, Bromley",00AFGE,4.6,2.8,18.3,1.7,43.4,71.4,00AF,84.2
52,Merton - Ravensbury,9968.0,93.2,78.0,81.4,21.2479935794543,13.5,38.9,36.0,13.1,Merton,Ravensbury,"9968, Merton",00BAGL,25.1,6.8,23.7,0.9,75.9,37.8,00BA,79.7
53,Richmond upon Thames - Hampton,9985.0,78.5,81.1,86.6,19.339008512769198,15.8,11.3,16.7,4.0,Richmond upon Thames,Hampton,"9985, Richmond upon Thames",00BDGA,13.8,1.7,12.5,1.2,56.6,74.7,00BD,83.85
54,Richmond upon Thames - South Twickenham,9987.0,74.1,82.5,87.0,18.4740162210874,10.3,9.7,18.8,4.0,Richmond upon Thames,South Twickenham,"9987, Richmond upon Thames",00BDGK,6.6,1.3,6.4,1.1,41.4,26.7,00BD,84.75
55,Bromley - Mottingham and Chislehurst North,9987.0,70.0,76.6,81.2,22.4091318714329,14.0,18.4,15.1,3.6,Bromley,Mottingham and Chislehurst North,"9987, Bromley",00AFGU,31.9,7.3,26.0,1.0,91.1,44.4,00AF,78.9
56,Westminster - Vincent Square,9988.0,39.0,80.3,90.4,14.4873848618342,12.6,29.3,44.6,17.0,Westminster,Vincent Square,"9988, Westminster",00BKGS,34.5,4.3,11.7,0.4,92.5,30.0,00BK,85.35
57,Kensington and Chelsea - Abingdon,10013.0,62.2,84.6,87.1,15.469889144112699,11.7,32.6,59.6,26.1,Kensington and Chelsea,Abingdon,"10013, Kensington and Chelsea",00AWFY,9.4,2.8,6.3,0.6,97.2,5.9,00AW,85.85
58,Barking and Dagenham - Chadwell Heath,10021.0,76.7,78.9,82.7,24.508532082626502,15.6,37.9,24.8,6.5,Barking and Dagenham,Chadwell Heath,"10021, Barking and Dagenham",,,,,,,,,80.80000000000001
59,Merton - Longthornton,10024.0,74.1,78.2,84.0,21.638068635275303,10.8,58.2,42.0,14.5,Merton,Longthornton,"10024, Merton",00BAGG,10.6,6.0,19.1,1.0,58.1,36.6,00BA,81.1
60,Harrow - Pinner,10026.0,62.5,80.7,84.9,18.112906443247603,19.8,38.0,31.7,7.5,Harrow,Pinner,"10026, Harrow",00AQGL,14.6,2.8,14.7,1.3,56.7,28.6,00AQ,82.80000000000001
61,Sutton - Carshalton Central,10039.0,60.5,82.9,85.4,19.0656439884451,13.7,13.7,15.0,3.7,Sutton,Carshalton Central,"10039, Sutton",00BFGF,7.0,3.3,15.4,1.2,60.0,27.0,00BF,84.15
62,Sutton - Belmont,10048.0,65.5,78.6,82.1,17.7945859872611,16.4,22.2,22.1,4.8,Sutton,Belmont,"10048, Sutton",00BFGE,10.0,3.0,13.7,1.2,30.5,19.0,00BF,80.35
63,Harrow - Headstone North,10093.0,47.6,81.3,85.4,18.1809174675518,16.4,52.6,37.0,9.1,Harrow,Headstone North,"10093, Harrow",00AQGF,4.0,2.5,12.9,1.4,38.6,49.5,00AQ,83.35
64,Kingston upon Thames - Norbiton,10107.0,67.4,76.2,78.2,18.7691698822598,9.1,31.0,34.1,13.6,Kingston upon Thames,Norbiton,"10107, Kingston upon Thames",00AXGG,31.2,4.9,17.7,0.8,71.6,34.5,00AX,77.2
65,Kingston upon Thames - Beverley,10109.0,66.1,76.8,80.0,20.664754179444103,12.9,32.6,32.4,13.3,Kingston upon Thames,Beverley,"10109, Kingston upon Thames",00AXFZ,11.5,2.9,15.2,1.0,74.5,26.5,00AX,78.4
66,Richmond upon Thames - Fulwell and Hampton Hill,10131.0,69.6,78.4,80.7,21.133155660843002,12.5,9.9,16.7,4.0,Richmond upon Thames,Fulwell and Hampton Hill,"10131, Richmond upon Thames",00BDFY,8.0,1.9,10.8,1.1,38.8,32.7,00BD,79.55000000000001
67,Sutton - The Wrythe,10163.0,63.8,77.5,83.9,,,,,,Sutton,The Wrythe,"10163, Sutton",00BFGR,14.7,4.1,22.2,1.1,56.2,18.0,00BF,80.7
68,Sutton - Wallington South,10200.0,53.0,78.0,81.7,18.2058823529412,17.3,21.3,18.5,4.3,Sutton,Wallington South,"10200, Sutton",00BFGT,16.4,4.2,18.7,1.1,72.0,9.5,00BF,79.85
69,Westminster - Maida Vale,10210.0,71.6,87.6,88.8,17.8844270323213,9.2,37.6,49.0,15.2,Westminster,Maida Vale,"10210, Westminster",00BKGL,24.5,4.6,13.2,0.5,76.6,27.2,00BK,88.19999999999999
70,Richmond upon Thames - Hampton Wick,10221.0,60.9,79.7,84.4,20.438313276587397,13.3,11.4,20.3,4.5,Richmond upon Thames,Hampton Wick,"10221, Richmond upon Thames",00BDGC,15.1,1.8,10.0,1.1,55.8,50.0,00BD,82.05000000000001
71,Kingston upon Thames - Chessington South,10232.0,60.9,80.0,83.3,20.6802189210321,13.5,13.0,14.3,3.9,Kingston upon Thames,Chessington South,"10232, Kingston upon Thames",00AXGC,11.7,2.1,19.1,1.4,49.4,75.7,00AX,81.65
72,Merton - Lavender Fields,10273.0,76.2,80.8,80.9,20.3056556020637,7.3,46.8,46.1,19.6,Merton,Lavender Fields,"10273, Merton",00BAGF,20.4,5.7,18.1,0.8,68.0,19.0,00BA,80.85
73,Sutton - Cheam,10285.0,46.3,82.3,83.0,19.8249878463782,19.7,21.2,18.6,3.3,Sutton,Cheam,"10285, Sutton",00BFGH,2.5,1.9,14.6,1.5,45.3,24.7,00BF,82.65
74,Tower Hamlets - Spitalfields and Banglatown,10286.0,35.7,92.7,93.7,13.7079525568734,5.6,54.7,50.7,24.6,Tower Hamlets,Spitalfields and Banglatown,"10286, Tower Hamlets",00BGGL,31.9,11.2,17.2,0.3,213.5,1.4,00BG,93.2
75,Merton - Pollards Hill,10287.0,81.0,80.2,85.2,24.1178186060076,10.5,56.4,35.9,9.4,Merton,Pollards Hill,"10287, Merton",00BAGK,24.1,8.4,21.7,1.0,73.5,52.8,00BA,82.7
76,Waltham Forest - Chingford Green,10287.0,60.6,77.7,84.4,17.663069894040998,21.8,14.7,13.1,3.0,Waltham Forest,Chingford Green,"10287, Waltham Forest",00BHGA,15.4,4.9,24.2,1.1,72.7,54.9,00BH,81.05000000000001
77,Richmond upon Thames - Barnes,10299.0,64.0,82.3,84.8,20.4000388387222,14.7,14.3,32.2,8.3,Richmond upon Thames,Barnes,"10299, Richmond upon Thames",00BDFW,17.9,2.1,9.1,1.0,61.4,54.4,00BD,83.55
78,Westminster - Bayswater,10300.0,43.2,91.6,85.1,11.747572815534001,9.7,31.1,56.1,23.9,Westminster,Bayswater,"10300, Westminster",00BKGB,20.4,4.4,7.5,0.4,118.2,3.8,00BK,88.35
79,Sutton - Beddington North,10309.0,69.2,79.3,83.0,20.6906586477835,13.3,23.5,16.6,3.8,Sutton,Beddington North,"10309, Sutton",00BFGC,9.0,3.8,19.8,1.3,67.1,53.0,00BF,81.15
80,Richmond upon Thames - Heathfield,10313.0,80.0,80.2,82.3,20.1687190924076,14.8,30.4,26.6,8.7,Richmond upon Thames,Heathfield,"10313, Richmond upon Thames",00BDGD,21.2,3.8,20.4,1.2,59.0,27.0,00BD,81.25
81,"Richmond upon Thames - Ham, Petersham and Richmond Riverside",10317.0,68.8,78.3,86.4,19.1237762915576,16.7,15.9,30.5,7.6,Richmond upon Thames,"Ham, Petersham and Richmond Riverside","10317, Richmond upon Thames",00BDFZ,18.5,3.1,14.1,1.0,65.8,81.9,00BD,82.35
82,Merton - Abbey,10323.0,52.6,80.0,81.0,15.7318608931512,8.5,26.6,38.3,12.5,Merton,Abbey,"10323, Merton",00BAFX,14.1,2.0,10.1,0.7,82.0,12.8,00BA,80.5
83,Richmond upon Thames - Teddington,10330.0,51.9,81.9,83.4,18.9351403678606,13.6,8.9,17.8,4.1,Richmond upon Thames,Teddington,"10330, Richmond upon Thames",00BDGL,8.5,1.5,7.7,1.1,56.1,64.0,00BD,82.65
84,Barking and Dagenham - Mayesbrook,10342.0,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2,Barking and Dagenham,Mayesbrook,"10342, Barking and Dagenham",00ABGH,38.6,9.6,32.1,0.8,83.4,45.8,00AB,79.4
85,Richmond upon Thames - East Sheen,10348.0,85.9,84.5,88.5,22.9029764205644,13.9,9.3,23.6,5.5,Richmond upon Thames,East Sheen,"10348, Richmond upon Thames",00BDFX,7.6,1.5,6.6,1.1,58.3,76.7,00BD,86.5
86,Sutton - Sutton North,10355.0,60.5,76.9,82.9,20.1352003862868,16.5,21.9,21.1,6.1,Sutton,Sutton North,"10355, Sutton",00BFGN,11.1,3.8,21.6,1.1,49.9,27.0,00BF,79.9
87,Kingston upon Thames - Coombe Hill,10357.0,43.9,80.4,83.0,18.818190595732396,14.4,35.5,40.6,13.9,Kingston upon Thames,Coombe Hill,"10357, Kingston upon Thames",00AXGD,11.6,2.3,10.7,1.3,56.8,42.1,00AX,81.7
88,Westminster - Marylebone High Street,10366.0,36.5,84.4,83.9,8.527879606405559,11.7,27.8,58.5,21.8,Westminster,Marylebone High Street,"10366, Westminster",00BKGM,9.9,1.3,5.8,0.5,376.3,6.1,00BK,84.15
89,Harrow - West Harrow,10373.0,60.8,81.4,82.6,20.302708955943302,13.0,55.8,42.9,14.4,Harrow,West Harrow,"10373, Harrow",00AQGU,9.6,3.7,13.4,1.1,45.4,19.7,00AQ,82.0
