District,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Population2011Census_x,Crimerate,Openspace,Population2011Census_y,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Lambeth,34.620000000000005,7.785000000000001,14.025,0.52,14468.7,125.28000000000002,19.410000000000004,14415.45,56.18000000000001,76.11499999999998,81.58,17.982592375438173,7.699999999999999,42.580952380952375,38.74761904761905,12.095238095238097
Lewisham,30.861111111111104,7.872222222222222,17.961111111111105,0.6666666666666666,15326.944444444445,97.91111111111111,25.411111111111115,15326.944444444445,69.16666666666667,75.86666666666667,80.92777777777776,20.77874423170952,9.566666666666666,46.24444444444445,33.48888888888889,9.055555555555555
Merton,13.74,4.24,15.099999999999998,0.9400000000000001,9984.65,69.27499999999999,29.014999999999997,9984.65,79.13,80.34,84.66,19.354138331404773,11.745000000000001,34.51,37.575,11.889999999999999
Newham,28.78,9.570000000000002,20.690000000000005,0.6099999999999999,15399.2,103.5,20.715,15399.2,82.47499999999998,76.25500000000001,80.88000000000002,22.726625586091963,6.659999999999999,70.83,53.614999999999995,24.724999999999998
Redbridge,11.104761904761906,5.895238095238096,18.395238095238092,1.080952380952381,13284.285714285714,88.22857142857144,27.97142857142857,13121.3,78.64999999999999,79.105,83.35000000000002,22.20537046700802,12.257142857142856,55.37142857142857,35.85714285714287,12.42857142857143
Richmond upon Thames,12.661111111111111,2.0944444444444446,10.722222222222221,1.0611111111111111,10388.333333333334,61.77222222222221,46.900000000000006,10388.333333333334,70.93333333333332,80.57222222222221,85.53888888888888,19.745819973148958,13.566666666666666,14.072222222222225,24.161111111111115,5.961111111111112
Southwark,43.580952380952375,7.88095238095238,16.399999999999995,0.5285714285714287,13727.761904761905,114.23333333333333,17.809523809523814,13727.761904761905,63.40476190476189,77.4904761904762,83.45714285714284,18.609845532970446,7.800000000000001,45.44285714285714,39.17142857142857,10.866666666666669
Sutton,14.244444444444444,3.8444444444444446,18.555555555555554,1.177777777777778,10563.666666666666,60.71111111111111,26.12222222222222,10563.666666666666,65.73333333333333,78.79444444444442,83.06666666666666,19.909717683553453,14.488235294117647,21.582352941176474,20.094117647058823,10.758823529411764
Tower Hamlets,40.293749999999996,10.7875,20.125000000000004,0.4125,14976.0,119.4375,22.4625,14946.823529411764,65.64117647058822,77.0,83.87647058823529,19.71220879847048,6.241176470588234,54.811764705882354,42.69411764705882,19.252941176470586
Waltham Forest,21.93499999999999,8.895,21.030000000000005,0.7949999999999997,12912.45,98.94,28.52,12912.45,85.895,76.98500000000001,82.36500000000002,21.22669199252756,10.275000000000002,46.46,37.41,14.089999999999998
Wandsworth,20.195,3.939999999999999,11.560000000000002,0.6900000000000001,15349.75,77.31500000000001,25.004999999999995,15349.75,59.004999999999995,77.13500000000002,82.045,16.577752723428056,8.754999999999999,28.335,35.17999999999999,9.8
Westminster,26.494999999999997,5.12,12.88,0.475,10969.8,307.42999999999995,18.404999999999994,10969.8,52.084999999999994,82.78999999999999,87.35999999999999,14.649255737741138,11.285000000000002,37.45,52.910000000000004,21.895000000000003
