,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
31,60.4,78.4,83.9,16.9227508742185,14.9,18.1,24.1,6.9,Kingston upon Thames,Berrylands
32,57.1,84.5,88.5,19.5044807590933,14.6,29.2,35.5,10.1,Merton,Merton Park
33,67.1,78.9,84.7,20.1740589283842,11.4,42.7,41.6,14.6,Kensington and Chelsea,Notting Barns
34,61.7,82.5,86.4,22.937982877427398,13.6,17.6,23.9,6.1,Kingston upon Thames,Tudor
35,85.8,77.2,81.7,14.8765496405876,17.5,24.4,29.4,9.7,Sutton,Sutton South
36,46.0,74.6,81.9,20.1289249324184,12.8,39.4,44.4,17.4,Westminster,Churchill
37,38.2,78.0,84.0,11.452196382428902,8.7,42.0,43.0,13.7,Lambeth,Bishop's
38,53.7,80.2,82.0,20.9264024704066,15.3,16.7,13.9,2.4,Sutton,Carshalton South and Clockhouse
39,82.3,80.0,83.8,19.172314643664,13.7,19.8,33.4,8.7,Merton,Raynes Park
40,51.4,80.2,85.3,21.2410256410256,13.3,33.4,33.5,11.1,Kingston upon Thames,Coombe Vale
41,76.8,79.7,85.8,19.3396226415094,16.3,21.5,23.3,6.7,Richmond upon Thames,Whitton
42,72.6,90.4,86.1,18.2143954131258,11.0,32.0,56.7,20.9,Kensington and Chelsea,Holland
43,93.8,80.6,83.9,16.932026944274302,8.2,22.2,36.1,9.8,Merton,Trinity
44,91.8,82.9,85.6,18.245721271393602,10.9,57.5,54.1,23.1,Merton,Graveney
45,48.2,83.0,87.9,18.526058631921803,19.7,15.6,16.0,3.6,Bromley,Shortlands
46,74.0,80.3,89.7,20.4617105664599,12.9,27.2,26.1,8.0,Kingston upon Thames,Tolworth and Hook Rise
47,94.1,76.8,81.8,26.222177050513302,11.2,30.9,23.3,6.6,Barking and Dagenham,Parsloes
48,50.7,94.5,86.6,14.3698588402559,9.4,28.7,63.2,24.9,Kensington and Chelsea,Queen's Gate
49,82.0,82.9,82.4,20.4421009937132,13.4,30.0,33.7,9.3,Merton,West Barnes
50,101.1,72.6,78.0,25.6916996047431,12.1,31.5,23.3,7.1,Barking and Dagenham,Valence
51,60.0,82.2,86.2,18.952869058386103,16.3,4.1,5.1,0.5,Bromley,Biggin Hill
52,93.2,78.0,81.4,21.2479935794543,13.5,38.9,36.0,13.1,Merton,Ravensbury
53,78.5,81.1,86.6,19.339008512769198,15.8,11.3,16.7,4.0,Richmond upon Thames,Hampton
54,74.1,82.5,87.0,18.4740162210874,10.3,9.7,18.8,4.0,Richmond upon Thames,South Twickenham
55,70.0,76.6,81.2,22.4091318714329,14.0,18.4,15.1,3.6,Bromley,Mottingham and Chislehurst North
56,39.0,80.3,90.4,14.4873848618342,12.6,29.3,44.6,17.0,Westminster,Vincent Square
57,62.2,84.6,87.1,15.469889144112699,11.7,32.6,59.6,26.1,Kensington and Chelsea,Abingdon
58,76.7,78.9,82.7,24.508532082626502,15.6,37.9,24.8,6.5,Barking and Dagenham,Chadwell Heath
59,74.1,78.2,84.0,21.638068635275303,10.8,58.2,42.0,14.5,Merton,Longthornton
60,62.5,80.7,84.9,18.112906443247603,19.8,38.0,31.7,7.5,Harrow,Pinner
61,60.5,82.9,85.4,19.0656439884451,13.7,13.7,15.0,3.7,Sutton,Carshalton Central
62,65.5,78.6,82.1,17.7945859872611,16.4,22.2,22.1,4.8,Sutton,Belmont
63,47.6,81.3,85.4,18.1809174675518,16.4,52.6,37.0,9.1,Harrow,Headstone North
64,67.4,76.2,78.2,18.7691698822598,9.1,31.0,34.1,13.6,Kingston upon Thames,Norbiton
65,66.1,76.8,80.0,20.664754179444103,12.9,32.6,32.4,13.3,Kingston upon Thames,Beverley
66,69.6,78.4,80.7,21.133155660843002,12.5,9.9,16.7,4.0,Richmond upon Thames,Fulwell and Hampton Hill
67,63.8,77.5,83.9,,,,,,Sutton,The Wrythe
68,53.0,78.0,81.7,18.2058823529412,17.3,21.3,18.5,4.3,Sutton,Wallington South
69,71.6,87.6,88.8,17.8844270323213,9.2,37.6,49.0,15.2,Westminster,Maida Vale
70,60.9,79.7,84.4,20.438313276587397,13.3,11.4,20.3,4.5,Richmond upon Thames,Hampton Wick
71,60.9,80.0,83.3,20.6802189210321,13.5,13.0,14.3,3.9,Kingston upon Thames,Chessington South
72,76.2,80.8,80.9,20.3056556020637,7.3,46.8,46.1,19.6,Merton,Lavender Fields
73,46.3,82.3,83.0,19.8249878463782,19.7,21.2,18.6,3.3,Sutton,Cheam
74,35.7,92.7,93.7,13.7079525568734,5.6,54.7,50.7,24.6,Tower Hamlets,Spitalfields and Banglatown
75,81.0,80.2,85.2,24.1178186060076,10.5,56.4,35.9,9.4,Merton,Pollards Hill
76,60.6,77.7,84.4,17.663069894040998,21.8,14.7,13.1,3.0,Waltham Forest,Chingford Green
77,64.0,82.3,84.8,20.4000388387222,14.7,14.3,32.2,8.3,Richmond upon Thames,Barnes
78,43.2,91.6,85.1,11.747572815534001,9.7,31.1,56.1,23.9,Westminster,Bayswater
79,69.2,79.3,83.0,20.6906586477835,13.3,23.5,16.6,3.8,Sutton,Beddington North
80,80.0,80.2,82.3,20.1687190924076,14.8,30.4,26.6,8.7,Richmond upon Thames,Heathfield
81,68.8,78.3,86.4,19.1237762915576,16.7,15.9,30.5,7.6,Richmond upon Thames,"Ham, Petersham and Richmond Riverside"
82,52.6,80.0,81.0,15.7318608931512,8.5,26.6,38.3,12.5,Merton,Abbey
83,51.9,81.9,83.4,18.9351403678606,13.6,8.9,17.8,4.1,Richmond upon Thames,Teddington
84,104.5,76.6,82.2,27.1030748404564,10.8,31.2,25.0,8.2,Barking and Dagenham,Mayesbrook
85,85.9,84.5,88.5,22.9029764205644,13.9,9.3,23.6,5.5,Richmond upon Thames,East Sheen
86,60.5,76.9,82.9,20.1352003862868,16.5,21.9,21.1,6.1,Sutton,Sutton North
87,43.9,80.4,83.0,18.818190595732396,14.4,35.5,40.6,13.9,Kingston upon Thames,Coombe Hill
88,36.5,84.4,83.9,8.527879606405559,11.7,27.8,58.5,21.8,Westminster,Marylebone High Street
89,60.8,81.4,82.6,20.302708955943302,13.0,55.8,42.9,14.4,Harrow,West Harrow
90,103.7,76.3,80.9,26.4034665382764,10.4,29.9,24.7,7.9,Barking and Dagenham,Alibon
91,57.1,81.9,85.4,18.638682969096,19.9,21.8,15.9,2.8,Hillingdon,Ickenham
92,73.8,78.4,81.0,17.131589072720303,12.4,10.3,26.8,7.2,Richmond upon Thames,Twickenham Riverside
