,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,Ward
93,47.9,74.2,81.7,21.992499278776805,12.3,24.6,21.3,6.4,Greenwich,Eltham West
94,61.1,82.7,93.1,21.160311209297898,17.1,40.6,29.4,6.8,Harrow,Pinner South
95,98.3,78.6,81.6,21.5959285577108,13.3,35.0,33.0,11.7,Merton,St. Helier
96,61.0,78.6,85.8,18.9671722019581,18.2,9.8,8.0,1.3,Bexley,Barnehurst
97,53.7,80.9,82.5,16.973709460756098,20.7,21.1,18.8,3.8,Redbridge,Monkhams
98,52.5,79.6,81.3,16.2995594713656,21.7,9.4,9.9,2.1,Bexley,Longlands
99,54.2,79.1,81.9,16.703317716798903,13.5,19.0,25.0,7.0,Kingston upon Thames,Surbiton Hill
100,50.4,81.4,83.9,15.827681727003501,20.9,34.8,31.8,7.0,Hillingdon,Northwood
101,54.8,81.4,81.3,11.0750739292187,8.2,21.3,29.1,8.9,Kingston upon Thames,St. Mark's
102,61.2,80.7,92.6,18.139357544562,21.0,8.4,8.1,1.1,Bexley,St. Mary's
103,65.9,76.6,79.0,21.245002855511103,14.7,24.8,19.0,4.5,Barking and Dagenham,Eastbrook
104,88.4,79.2,83.4,21.789513677811602,11.7,16.0,21.1,4.4,Richmond upon Thames,West Twickenham
105,63.2,79.4,82.2,18.0713743356112,13.9,23.0,25.1,7.8,Sutton,Sutton West
106,43.9,80.4,84.9,17.2482457803907,20.9,13.1,10.4,1.6,Bexley,Brampton
107,38.1,93.2,99.6,7.9148936170212805,10.9,32.4,56.8,24.2,Westminster,West End
108,84.0,81.0,84.1,23.6501182033097,11.6,44.0,29.2,8.4,Barking and Dagenham,Whalebone
109,50.0,78.5,82.9,20.617097565578398,15.1,14.5,9.8,1.9,Bexley,Northumberland Heath
110,55.8,80.4,85.3,17.8588257468665,16.8,18.0,18.4,3.9,Hillingdon,West Ruislip
111,53.3,84.2,84.6,19.6590052750565,17.5,7.3,7.1,1.2,Bexley,Blackfen and Lamorbey
112,70.0,80.2,92.5,17.201166180758,9.8,35.6,52.6,19.9,Westminster,Little Venice
113,52.0,81.6,87.4,18.550888074429103,17.3,15.3,15.7,3.6,Sutton,Nonsuch
114,76.4,83.8,86.1,18.6590290168091,13.1,15.7,28.3,6.8,Richmond upon Thames,North Richmond
115,77.5,78.9,81.3,19.9154929577465,12.5,19.6,16.6,4.4,Sutton,Wallington North
116,59.6,76.9,83.7,22.039936251992103,13.9,28.8,20.1,4.2,Sutton,Beddington South
117,63.9,80.6,83.1,21.0693885195243,4.0,54.1,48.3,18.1,Newham,Royal Docks
118,55.3,82.0,84.3,18.685121107266397,19.8,43.3,33.0,9.1,Harrow,Hatch End
119,62.9,77.6,83.3,14.189693801344301,8.1,40.1,47.2,16.3,Merton,Colliers Wood
120,45.6,78.7,85.2,20.5843913368185,14.5,20.9,18.1,5.2,Sutton,Stonecot
121,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2,Barking and Dagenham,Thames
122,54.9,80.4,84.4,18.611369990680302,16.9,22.4,17.5,3.8,Waltham Forest,Endlebury
123,56.3,77.4,81.5,17.8783382789318,12.1,16.2,26.1,7.0,Haringey,Muswell Hill
124,47.0,78.3,86.2,17.6263328697265,11.4,26.7,37.3,11.6,Hammersmith and Fulham,Ravenscourt Park
125,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2,Barking and Dagenham,Heath
126,99.1,76.0,80.9,24.9559655140447,11.3,34.8,26.0,7.5,Barking and Dagenham,Village
127,58.1,78.2,82.8,19.111111111111104,15.7,15.4,12.4,2.6,Bexley,Falconwood and Welling
128,72.7,74.4,80.5,25.803166373483897,12.7,23.7,13.9,3.0,Croydon,New Addington
129,61.6,80.3,84.6,18.0430962730047,10.2,17.8,38.2,10.8,Hammersmith and Fulham,Parsons Green and Walham
130,55.2,78.7,83.6,16.5526802218115,14.0,13.1,33.0,8.5,Richmond upon Thames,South Richmond
131,37.2,80.4,86.4,8.7827853712597,11.0,28.8,49.0,20.0,Westminster,St. James's
132,43.7,76.4,78.8,15.815197344153399,20.0,10.1,10.6,2.2,Bexley,Sidcup
133,71.2,79.0,84.0,18.916927610978103,18.0,16.9,13.4,3.2,Bexley,East Wickham
134,53.6,79.8,84.3,18.501472754050102,17.5,16.2,13.2,3.1,Bexley,Danson Park
135,22.1,77.2,81.6,7.133676092544991,10.0,40.4,51.2,19.5,Camden,Bloomsbury
136,59.0,82.4,85.3,19.5325389550871,17.9,9.5,7.8,1.7,Bexley,Blendon and Penhill
137,96.8,77.8,85.5,19.791189669383602,12.0,11.7,25.6,5.2,Richmond upon Thames,Mortlake and Barnes Common
138,80.4,73.2,77.9,26.8515975464616,10.1,38.4,30.9,9.6,Barking and Dagenham,River
139,52.9,77.7,88.8,12.8617069831127,9.4,23.2,31.4,11.2,Kingston upon Thames,Grove
140,45.9,82.3,84.1,17.8183477863989,15.2,20.2,27.1,5.5,Camden,Highgate
141,61.9,77.8,80.9,18.1030551755586,18.3,13.4,11.5,2.3,Bexley,Christchurch
142,78.5,75.7,80.3,18.7573910670427,11.5,24.1,26.9,99.7,Sutton,Sutton Central
143,50.4,76.2,79.4,13.5049108766824,10.3,29.9,43.9,15.6,Hammersmith and Fulham,Fulham Broadway
144,54.5,85.3,84.5,15.0672482733551,8.4,19.3,38.3,10.7,Hammersmith and Fulham,Munster
145,73.8,78.6,82.9,20.2930005425936,16.1,22.2,16.5,4.4,Waltham Forest,Hatch Lane
146,41.0,77.9,83.9,14.435127580921499,6.2,38.2,42.7,18.6,Hackney,Brownswood
147,66.2,77.2,85.7,25.5541539016039,9.2,62.0,43.3,13.4,Hackney,King's Park
148,64.9,82.1,85.0,20.631067961164998,13.9,65.5,48.0,17.6,Harrow,Rayners Lane
149,85.7,78.2,80.2,22.1872753414809,14.5,17.7,12.3,2.0,Bexley,Colyers
150,56.4,83.2,88.4,22.1463852716659,13.7,17.3,11.6,2.4,Bexley,St. Michael's
151,73.0,80.0,89.5,20.3682083520431,12.0,56.5,44.2,15.9,Harrow,Headstone South
152,60.4,78.2,85.9,18.737654875202,12.4,73.4,57.1,24.7,Harrow,Kenton East
153,61.7,84.1,94.5,21.8403150733978,9.5,12.3,23.3,4.8,Richmond upon Thames,St. Margarets and North Twickenham
154,64.8,82.0,86.6,17.9092455025508,14.3,72.6,51.3,20.4,Harrow,Kenton West
155,81.1,84.7,86.1,21.2021077074216,8.2,20.4,32.9,8.4,Merton,Wimbledon Park
156,47.3,78.8,81.1,16.6502990804392,7.2,22.7,40.5,11.9,Hammersmith and Fulham,Town
157,61.7,76.9,79.5,20.5139644864817,17.6,11.0,9.9,2.3,Bexley,Cray Meadows
158,64.2,77.4,87.5,21.6907179761268,14.6,11.7,10.0,1.9,Bexley,Crayford
159,67.4,80.2,81.1,17.3479383738534,22.4,43.3,34.5,8.8,Harrow,Stanmore Park
160,114.6,75.9,80.2,23.113879003558697,9.3,57.4,44.9,16.3,Merton,Figge's Marsh
161,68.5,81.5,85.1,17.4577777777778,14.0,35.4,56.9,20.4,Westminster,Abbey Road
162,53.7,74.9,82.5,19.602272727272698,12.2,30.1,34.9,10.4,Camden,Gospel Oak
163,97.4,79.3,81.4,26.5643028312772,10.0,33.3,26.8,7.7,Barking and Dagenham,Goresbrook
164,57.5,82.7,86.6,17.4977817213842,15.9,20.0,40.9,10.4,Camden,Hampstead Town
165,40.9,82.0,92.7,12.603927118344199,8.5,30.5,43.6,14.0,Hammersmith and Fulham,Fulham Reach
166,71.4,77.5,83.6,19.978830378407,15.3,31.2,21.8,6.3,Waltham Forest,Larkswood
167,81.1,82.1,85.5,21.246583796173898,13.0,58.7,41.6,13.2,Harrow,Belmont
168,52.3,78.7,83.6,18.3324519654504,11.3,18.8,34.0,9.8,Hounslow,Chiswick Homefields
169,75.5,79.6,84.3,20.9236735413362,15.6,31.0,23.3,5.0,Bexley,Lesnes Abbey
170,75.5,80.2,84.3,22.7300748568912,11.4,33.1,21.8,5.9,Waltham Forest,Hale End and Highams Park
171,65.1,80.6,85.7,19.743319268635698,17.1,48.3,36.7,10.5,Harrow,Harrow Weald
172,94.0,75.5,81.4,23.424609443566798,11.0,62.6,46.9,18.3,Harrow,Wealdstone
173,72.7,77.7,82.4,20.468092566619898,12.0,30.8,28.5,10.9,Hounslow,Hanworth Park
174,60.7,83.6,88.7,19.3110098176718,12.5,45.1,38.7,13.2,Hounslow,Hounslow South
175,66.7,79.0,88.4,20.1556488282616,13.9,15.3,30.2,7.6,Richmond upon Thames,Kew
176,53.6,80.0,83.1,20.241216570529602,15.7,16.0,16.2,3.6,Hillingdon,Manor
177,75.2,77.5,80.9,21.1464522894093,13.4,38.4,25.6,7.9,Waltham Forest,Valley
178,52.2,77.9,83.8,14.9807826694619,12.9,23.2,39.9,12.8,Hounslow,Turnham Green
179,120.0,78.5,87.0,23.3135785253617,10.8,47.5,39.5,14.5,Merton,Cricket Green
180,98.4,76.5,82.4,22.9656734622757,11.6,57.4,33.3,11.9,Barking and Dagenham,Longbridge
181,78.1,75.4,78.6,31.1089816186079,10.1,34.4,19.3,4.1,Croydon,Fieldway
182,29.2,77.6,84.9,12.236727589208,8.2,29.3,38.5,12.6,Islington,Clerkenwell
183,67.5,81.4,84.6,18.2354984369573,11.9,26.5,22.1,5.8,Redbridge,Church End
